batter,total_runs,batting_avg,strike_rate,innings,dismissals,balls_faced,most_active_year
D Ferreira,79,15.8,129.5081967213115,5,5.0,61,2026
JR Philippe,78,19.5,101.29870129870129,5,4.0,77,2020
CR Woakes,78,13.0,101.29870129870129,12,6.0,77,2017
IR Jaggi,76,15.2,78.35051546391753,7,5.0,97,2017
B Akhil,76,12.666666666666666,138.1818181818182,11,6.0,55,2008
TR Birt,75,15.0,129.31034482758622,5,5.0,58,2011
M Klinger,73,18.25,94.8051948051948,4,4.0,77,2011
RR Sarwan,73,18.25,97.33333333333334,4,4.0,75,2008
JJ Bumrah,73,10.428571428571429,90.12345679012346,28,7.0,81,2021
LH Ferguson,72,24.0,153.19148936170214,8,3.0,47,2020
SK Rasheed,71,14.2,112.6984126984127,5,5.0,63,2025
J Suchith,70,17.5,114.75409836065573,9,4.0,61,2015
AA Bilakhia,69,13.8,81.17647058823529,7,5.0,85,2009
Vivrant Sharma,69,69.0,146.80851063829786,1,1.0,47,2023
Avesh Khan,68,17.0,158.13953488372093,16,4.0,43,2025
Urvil Patel,68,22.666666666666668,212.5,3,3.0,32,2025
RR Powar,67,22.333333333333332,104.6875,9,3.0,64,2009
JG Bethell,67,33.5,171.7948717948718,2,2.0,39,2025
HR Shokeen,66,22.0,101.53846153846153,5,3.0,65,2022
R Sharma,66,4.714285714285714,88.0,19,14.0,75,2010
WD Parnell,65,6.5,81.25,13,10.0,80,2011
KA Jamieson,65,16.25,108.33333333333333,9,4.0,60,2021
Mohammad Hafeez,64,9.142857142857142,77.10843373493977,8,7.0,83,2008
Anirudh Singh,63,15.75,95.45454545454545,4,4.0,66,2010
A Flintoff,62,31.0,116.98113207547169,3,2.0,53,2009
SP Jackson,61,10.166666666666666,107.01754385964912,8,6.0,57,2017
Sandeep Sharma,60,10.0,80.0,26,6.0,75,2020
Harshit Rana,59,9.833333333333334,105.35714285714286,10,6.0,56,2025
S Aravind,59,14.75,103.50877192982458,10,4.0,57,2017
MG Bracewell,58,29.0,123.40425531914893,4,2.0,47,2023
C Bosch,58,29.0,161.11111111111111,3,2.0,36,2025
I Sharma,57,9.5,82.6086956521739,21,6.0,69,2010
Vishnu Vinod,56,9.333333333333334,98.24561403508771,6,6.0,57,2023
WA Mota,56,9.333333333333334,74.66666666666667,8,6.0,75,2009
M Rawat,55,11.0,79.71014492753623,11,5.0,69,2008
A Chopra,53,8.833333333333334,74.64788732394366,6,6.0,71,2008
TU Deshpande,53,17.666666666666668,160.6060606060606,9,3.0,33,2020
DJ Willey,53,26.5,85.48387096774194,5,2.0,62,2022
PVD Chameera,53,13.25,126.19047619047619,10,4.0,42,2022
RP Singh,52,3.466666666666667,68.42105263157895,28,15.0,76,2008
Shoaib Malik,52,13.0,110.63829787234043,5,4.0,47,2008
Shivam Mavi,51,5.666666666666667,91.07142857142857,11,9.0,56,2021
KB Arun Karthik,51,10.2,100.0,8,5.0,51,2013
R Rampaul,51,10.2,102.0,7,5.0,50,2013
OF Smith,51,17.0,115.90909090909092,6,3.0,44,2022
Swapnil Singh,51,10.2,113.33333333333333,9,5.0,45,2024
VR Aaron,50,10.0,69.44444444444444,12,5.0,72,2014
RV Gomez,50,10.0,98.0392156862745,9,5.0,51,2011
AG Paunikar,49,9.8,84.48275862068965,5,5.0,58,2011
A Nortje,49,7.0,98.0,14,7.0,50,2023
SB Bangar,49,7.0,84.48275862068965,7,7.0,58,2008
AS Yadav,49,9.8,125.64102564102564,6,5.0,39,2008
PR Veer,49,49.0,136.11111111111111,2,1.0,36,2026
M Markande,48,16.0,114.28571428571428,10,3.0,42,2018
